약국명,지역,주소,개설일자,경도,위도
에이스약국,안산단원구,경기도 안산시 단원구 고잔로 54 401호 (고잔동),20050426,126.8321231,37.3190593
수정약국,대구서구,대구광역시 서구 북비산로 244 1층 (평리동),19870309,128.5597028,35.8789861
청암약국,고양일산서구,"경기도 고양시 일산서구 일현로 128 1층 101-2, 102호 (탄현동, 탄현마을상가동)",19950526,126.7667421,37.6991021
21세기분당종로약국,성남분당구,"경기도 성남시 분당구 야탑로81번길 10 303-1호 (야탑동, 아미고타워)",20090102,127.1282197,37.4105955
아시아드메디칼온누리약국,인천남동구,"인천광역시 남동구 인하로 568 104호 (구월동, 아시아드타워(상업5-2))",20161004,126.7097271,37.4425176
드림약국,목포시,전라남도 목포시 영산로 623 (석현동),20080728,126.4210250,34.8213917
디딤온누리약국,광진구,서울특별시 광진구 천호대로 653 1층 (중곡동),20170919,127.0896679,37.5528499
해오름약국,안양동안구,"경기도 안양시 동안구 시민대로 187 201호 (비산동, 안양건설타워)",20110103,126.9517485,37.3917876
참조은약국,천안서북구,충청남도 천안시 서북구 충무로 172 (쌍용동),20080501,127.1264765,36.7939703
연합약국,대구북구,대구광역시 북구 동북로 170 (산격동),20060828,128.6110174,35.8990165
경애약국,대구남구,대구광역시 남구 대봉로17길 6 (봉덕동),19730330,128.6039383,35.8464737
일산약국,원주시,강원도 원주시 원일로115번길 7 (일산동),20130801,127.9478685,37.3495027
그린피스약국,대구북구,대구광역시 북구 대천로 87 1층 (동천동),20081208,128.5588369,35.9372091
김해김약국,김해시,경상남도 김해시 인제로 166 (어방동),20070122,128.9042416,35.2434158
21세기길약국,인천남동구,"인천광역시 남동구 독점로29번길 30 103,105호 (구월동)",20050408,126.7092973,37.4525347
명당약국,대구남구,대구광역시 남구 봉덕로 123 (봉덕동),19781013,128.6037924,35.8446562
김약국,서귀포시,제주특별자치도 서귀포시 중정로 54-1 (서귀동),19840217,126.5622389,33.2475089
파티마삼성약국,대구동구,대구광역시 동구 아양로15길 11 1층 (신암동),20041005,128.6227865,35.8836881
메디팜안양약국,안양동안구,경기도 안양시 동안구 엘에스로 92 (호계동),20060213,126.9523550,37.3717090
시온온누리약국,제주시,제주특별자치도 제주시 중앙로 319-1 1층 (이도이동),20190430,126.5359826,33.4926864
해맑은약국,대구달서구,대구광역시 달서구 비슬로 2716 (대곡동),20040714,128.5122631,35.8090884
프라자약국,안동시,경상북도 안동시 복주5길 41 (옥동),20021230,128.6989100,36.5661290
원희온누리약국,용인수지구,"경기도 용인시 수지구 만현로 110 B동 111-2호 (상현동,원희캐슬프라자)",20110330,127.0847948,37.3067354
영천약국,영천시,경상북도 영천시 오수1길 8 (오수동),20020715,128.9128053,35.9579199
백민약국,포항북구,경상북도 포항시 북구 중흥로191번길 20 (죽도동),20030228,129.3546257,36.0220163
채약국,정읍시,전라북도 정읍시 학산로 103-4 (상동),19970816,126.8729486,35.5583229
항도약국,군산시,전라북도 군산시 구시장로 50 (신영동),19811020,126.7195449,35.9846325
생명사랑약국,대전유성구,대전광역시 유성구 도안대로 511-13 1층 111호 (상대동),20171010,127.3392623,36.3456740
새조은약국,부산사하구,부산광역시 사하구 장평로 445 1층 (괴정동),20171109,128.9862407,35.0979205
유신약국,인천강화군,인천광역시 강화군 길상면 온수길36번길 2 (),20041221,126.4909558,37.6395604
고창종로약국,고창군,전라북도 고창군 고창읍 중앙로 230 103호,19990707,126.7006124,35.4348981
도농건강약국,남양주시,"경기도 남양주시 미금로 37-6 105호 (도농동, 연성프라자)",20081202,127.1515686,37.6083950
진동 행복한약국,창원마산합포구,경상남도 창원시 마산합포구 진동면 삼진의거대로 654 진동농업협동조합,20181224,128.4890038,35.1162913
현대프라자약국,울산남구,울산광역시 남구 삼산중로74번길 7 (삼산동),20090102,129.3362356,35.5404531
서포바다약국,사천시,경상남도 사천시 서포면 자구로 484 (서포면),20070502,127.9768367,35.0076831
수약국,대구서구,대구광역시 서구 달서로 120 (비산동),20070702,128.5714821,35.8728788
큰사랑약국,인천중구,인천광역시 중구 서해대로 476 (유동),20020416,126.6362320,37.4683969
명인약국,청양군,충청남도 청양군 청양읍 중앙로3길 2 (청양읍),20070306,126.8025058,36.4491719
강약국,부산연제구,부산광역시 연제구 고분로 32 (연산동),19781107,129.0860097,35.1855558
아이행복약국,천안서북구,충청남도 천안시 서북구 불당25로 208 111호 (불당동),20190920,127.1094296,36.8196137
한솔약국,세종시,세종특별자치시 누리로 106 송원프라자 107호 (한솔동),20190923,127.2525403,36.4798634
라온약국,광주광산구,광주광역시 광산구 송도로 160 (도산동),20190918,126.7929720,35.1287666
세계로약국,대구북구,대구광역시 북구 칠곡중앙대로 400 1층 (태전동),20180423,128.5485439,35.9313186
나무약국,예산군,충청남도 예산군 예산읍 역전로 74 (),20190926,126.8296554,36.6858010
대광당한약국,함안군,경상남도 함안군 함안면 함안대로 127 (),20180419,128.4220719,35.2435012
사랑약국,부천시,경기도 부천시 중동로 326 103호 (중동),20051226,126.7699886,37.5087572
유명약국,보령시,충청남도 보령시 대흥로 74 (대천동),20190923,126.5912996,36.3510240
신한미온누리약국,광주남구,광주광역시 남구 군분로 41 (월산동),20000707,126.8937616,35.1371795
중앙약국,산청군,경상남도 산청군 산청읍 중앙로 93-3 (),20131216,127.8832233,35.4162386
봄약국,광주시,경기도 광주시 오포읍 신현로 72 101호,20110502,127.1546818,37.3604150
늘푸른약국,나주시,전라남도 나주시 예향로 3815 1층 (이창동),20091230,126.7137163,34.9950806
신화약국,김제시,전라북도 김제시 두월2길 6 (신풍동),19770910,126.9016439,35.7927833
지산종로약국,광주동구,광주광역시 동구 필문대로 193 (산수동),20000630,126.9316878,35.1534566
구영약국,신안군,전라남도 신안군 암태면 중부로 1820-4 1820,20060223,126.1145745,34.8289262
해바라기약국,대구수성구,대구광역시 수성구 동대구로 102 (지산동),20080408,128.6246926,35.8392601
사거리현대약국,송파구,"서울특별시 송파구 올림픽로 491 1층 (풍납동, 세제빌딩)",20170918,127.1175834,37.5263720
범일우리약국,부산동구,부산광역시 동구 범일로89번길 63 1층 (범일동),20170927,129.0586306,35.1404998
행복약국,보령시,충청남도 보령시 주공로 22 (동대동),20170925,126.6026895,36.3442830
동홍약국,서귀포시,제주특별자치도 서귀포시 동홍중앙로 49 (동홍동),20170926,126.5718357,33.2550558
소망약국,광주시,경기도 광주시 곤지암읍 곤지암로50번길 25 1층,20190318,127.3387071,37.3501696
조은약국,무안군,전라남도 무안군 일로읍 일로로 78-2 (일로읍),20101125,126.4947040,34.8490657
성제당약국,광주동구,광주광역시 동구 백서로 124-1 (학동),19830705,126.9190751,35.1417884
모아당약국,광주북구,"광주광역시 북구 서암대로 199 114동 101호 (중흥동, 모아타운상가)",19910531,126.9062446,35.1692738
이화약국,광주동구,광주광역시 동구 남문로 698 (학동),20110128,126.9286428,35.1329143
삼전약국,진주시,경상남도 진주시 도동로 250 (하대동),20120914,128.1220846,35.1925807
온누리현대약국,청주흥덕구,충청북도 청주시 흥덕구 비하로 59 (비하동),20060127,127.4246323,36.6327014
세명약국,신안군,전라남도 신안군 비금면 송치길 155-19 (비금면),19991223,125.9327628,34.7212122
명진약국,창원진해구,"경상남도 창원시 진해구 웅동로 72 104호 (마천동, 남명프라자)",20040426,128.7840172,35.1246041
증평선경약국,증평군,충청북도 증평군 증평읍 역전로 34-1 (증평읍),20020115,127.5797132,36.7829585
청수약국,안양만안구,경기도 안양시 만안구 장내로 83 1층 (안양동),20110930,126.9177868,37.3951525
조양약국,창원진해구,경상남도 창원시 진해구 충장로 126 101호 (충무동),20060707,128.6657218,35.1518855
평화약국,성남중원구,경기도 성남시 중원구 산성대로518번길 7-1 2층 (은행동),20180830,127.1645136,37.4568989
대웅약국,괴산군,충청북도 괴산군 연풍면 향교로 25 (연풍면),19870304,127.9962086,36.7646257
메디팜명재약국,광양시,전라남도 광양시 광양읍 순광로 697 (),19940609,127.5891303,34.9704965
용약국,대전동구,대전광역시 동구 대전로 619 (효동),20000905,127.4399786,36.3158767
