지역, 학교명, 1학년 학급수, 1학년 학생수, 2학년 학급수, 2학년 학생수, 3학년 학급수, 3학년 학생수
인천광역시 부평구,인천진산과학고등학교,4,80,4,80,4,46
인천광역시 중구,인천국제고등학교,6,142,6,135,6,143
인천광역시 남동구,인천만수고등학교,9,263,9,227,10,291
인천광역시 서구,인천신현고등학교,10,291,10,222,10,247
인천광역시 남동구,인천남동고등학교,9,247,9,236,10,294
인천광역시 남동구,미추홀외국어고등학교,8,193,8,186,8,190
인천광역시 부평구,인천상정고등학교,8,209,8,170,8,186
인천광역시 계양구,인천세원고등학교,9,226,9,196,9,222
인천광역시 남동구,인천고잔고등학교,9,259,9,219,10,277
인천광역시 연수구,인천해송고등학교,10,300,10,273,10,289
인천광역시 남동구,인천송천고등학교,8,232,8,205,8,227
인천광역시 서구,인천청라고등학교,10,300,10,295,10,317
인천광역시 서구,인천초은고등학교,10,296,10,254,10,288
인천광역시 연수구,인천연송고등학교,9,241,9,225,9,240
인천광역시 중구,인천영종고등학교,13,272,12,257,12,278
인천광역시 서구,인천해원고등학교,9,274,9,220,8,243
인천광역시 중구,인천하늘고등학교,8,230,8,221,8,215
인천광역시 옹진군,인천영흥고등학교,2,29,2,36,2,31
인천광역시 연수구,인천과학예술영재학교,5,77,5,74,5,77
인천광역시 연수구,인천포스코고등학교,8,214,8,213,8,226
인천광역시 연수구,인천여자고등학교부설방송통신고등학교,4,97,4,74,4,85
인천광역시 중구,제물포고등학교부설방송통신고등학교,2,44,2,46,2,56
광주광역시 북구,전남대학교사범대학부설고등학교,8,223,8,222,8,248
광주광역시 북구,고려고등학교,9,244,10,256,10,301
광주광역시 서구,광덕고등학교,10,278,10,274,10,309
광주광역시 광산구,광일고등학교,3,73,2,55,4,90
광주광역시 북구,광주경신여자고등학교,9,252,10,261,10,286
광주광역시 동구,광주고등학교,8,225,8,236,8,262
광주광역시 북구,광주과학고등학교,6,93,6,97,6,97
광주광역시 북구,광주공업고등학교,14,358,14,354,14,386
광주광역시 서구,광주대동고등학교,8,222,9,256,9,277
광주광역시 남구,광주동성고등학교,8,198,9,229,8,273
광주광역시 북구,광주동신고등학교,9,249,9,237,9,268
광주광역시 북구,광주동신여자고등학교,12,337,10,267,11,338
광주광역시 서구,광주서석고등학교,9,250,9,254,9,273
광주광역시 남구,광주석산고등학교,9,219,9,222,9,295
광주광역시 남구,광주수피아여자고등학교,10,240,9,223,9,257
광주광역시 북구,광주숭일고등학교,10,272,11,296,11,324
광주광역시 서구,광주여자고등학교,11,315,8,253,10,341
광주광역시 남구,광주여자상업고등학교,6,158,6,152,6,164
광주광역시 북구,광주예술고등학교,5,126,5,142,5,125
광주광역시 남구,광주인성고등학교,9,225,9,223,9,295
광주광역시 북구,광주자연과학고등학교,7,186,7,182,7,186
광주광역시 광산구,광주소프트웨어마이스터고등학교,4,79,4,76,4,72
광주광역시 광산구,광주전자공업고등학교,13,339,13,333,13,350
광주광역시 광산구,광주자동화설비공업고등학교,4,81,4,80,4,79
광주광역시 북구,광주제일고등학교,8,229,8,236,8,260
광주광역시 북구,금호중앙여자고등학교,10,279,10,260,10,298
광주광역시 광산구,광주진흥고등학교,9,285,9,282,9,313
광주광역시 북구,광주체육고등학교,3,102,3,78,3,94
광주광역시 북구,국제고등학교,10,279,10,264,10,301
광주광역시 북구,금파공업고등학교,8,208,8,189,8,205
광주광역시 북구,금호고등학교,9,247,9,236,8,232
광주광역시 남구,대광여자고등학교,8,194,8,197,9,268
광주광역시 남구,대성여자고등학교,12,293,10,244,10,304
광주광역시 광산구,동명고등학교,4,79,4,80,4,81
광주광역시 남구,동아여자고등학교,10,238,9,224,9,261
광주광역시 남구,동일미래과학고등학교,10,260,10,224,12,302
광주광역시 남구,문성고등학교,9,221,9,223,9,300
광주광역시 광산구,보문고등학교,10,306,10,294,11,330
광주광역시 북구,살레시오고등학교,9,254,9,244,9,281
광주광역시 동구,살레시오여자고등학교,10,236,8,202,8,234
광주광역시 서구,상무고등학교,8,217,8,213,10,316
광주광역시 북구,서강고등학교,11,306,11,298,11,327
광주광역시 남구,서진여자고등학교,4,82,7,127,10,226
광주광역시 남구,설월여자고등학교,11,264,9,206,10,291
광주광역시 광산구,명진고등학교,10,284,9,282,9,296
광주광역시 남구,송원고등학교,8,196,8,189,8,215
광주광역시 남구,송원여자고등학교,7,174,8,193,8,240
광주광역시 광산구,숭덕고등학교,10,326,10,333,10,348
광주광역시 남구,숭의과학기술고등학교,10,239,10,231,12,270
광주광역시 서구,전남고등학교,9,253,8,231,9,276
광주광역시 광산구,전남공업고등학교,13,332,13,317,13,340
광주광역시 동구,전남여자고등학교,9,215,8,191,8,233
광주광역시 북구,전남여자상업고등학교,8,213,8,206,8,215
광주광역시 광산구,정광고등학교,11,357,11,357,11,385
광주광역시 동구,조선대학교부속고등학교,9,216,8,197,8,234
광주광역시 동구,조선대학교여자고등학교,10,241,8,193,9,256
광주광역시 남구,호남삼육고등학교,3,96,3,95,3,97
광주광역시 남구,송원여자상업고등학교,8,188,8,185,8,207
광주광역시 광산구,운남고등학교,10,325,8,258,10,352
광주광역시 서구,풍암고등학교,10,260,9,250,9,264
광주광역시 광산구,첨단고등학교,10,321,11,354,11,364
광주광역시 서구,상일여자고등학교,8,218,8,226,8,253
광주광역시 광산구,장덕고등학교,11,368,10,331,11,378
광주광역시 광산구,수완고등학교,11,354,9,283,10,346
광주광역시 북구,문정여자고등학교,11,308,10,263,10,296
광주광역시 광산구,성덕고등학교,11,338,11,319,10,307
광주광역시 북구,빛고을고등학교,10,281,9,249,9,285
광주광역시 동구,광주고등학교부설방송통신고등학교,3,39,3,34,3,70
광주광역시 동구,전남여자고등학교부설방송통신고등학교,5,152,5,150,5,160
대전광역시 대덕구,대전생활과학고등학교,9,191,9,209,9,226
대전광역시 동구,계룡디지텍고등학교,9,190,9,220,9,246
대전광역시 중구,남대전고등학교,10,219,10,217,10,254
대전광역시 유성구,대덕고등학교,11,211,11,200,11,235
대전광역시 유성구,대덕소프트웨어마이스터고등학교,4,79,4,78,4,71
대전광역시 중구,대전대성고등학교,10,355,10,334,10,331
대전광역시 동구,대전대성여자고등학교,11,232,11,228,11,254
대전광역시 중구,대전고등학교,12,358,12,351,12,397
대전광역시 유성구,대전공업고등학교,12,193,12,203,12,263
대전광역시 유성구,대전과학고등학교,6,93,6,94,6,95
대전광역시 서구,대전관저고등학교,9,235,9,209,9,222
대전광역시 유성구,대전노은고등학교,8,233,8,230,8,245
대전광역시 서구,대전대신고등학교,10,359,10,321,10,346
대전광역시 중구,대전동산고등학교,11,251,11,231,11,242
대전광역시 동구,동아마이스터고등학교,10,198,10,197,10,193
대전광역시 서구,대전둔산여자고등학교,14,321,14,333,14,384
대전광역시 서구,대전둔원고등학교,10,287,10,257,10,306
대전광역시 서구,대전만년고등학교,10,275,10,256,10,258
대전광역시 서구,대전제일고등학교,8,163,8,176,8,188
대전광역시 중구,대전성모여자고등학교,8,201,8,183,8,186
대전광역시 대덕구,대전송촌고등학교,12,358,12,335,12,395
대전광역시 중구,대전신일여자고등학교,10,208,10,226,10,252
대전광역시 동구,대전여자고등학교,12,360,12,350,12,402
대전광역시 중구,대전여자상업고등학교,10,210,10,246,10,269
대전광역시 중구,대전국제통상고등학교,10,203,10,188,10,233
대전광역시 유성구,대전예술고등학교,6,220,6,230,6,248
대전광역시 서구,대전외국어고등학교,10,248,10,245,10,244
대전광역시 유성구,대전전자디자인고등학교,9,149,9,55,9,113
대전광역시 중구,대전중앙고등학교,9,188,9,183,9,223
대전광역시 유성구,대전체육고등학교,3,71,3,64,3,87
대전광역시 중구,대전한빛고등학교,8,200,8,188,8,192
대전광역시 대덕구,동대전고등학교,11,296,11,259,11,281
대전광역시 서구,동방고등학교,10,258,10,233,10,257
대전광역시 동구,대전동신과학고등학교,5,84,5,77,5,57
대전광역시 동구,명석고등학교,11,242,11,225,11,225
대전광역시 동구,보문고등학교,12,248,12,246,12,291
대전광역시 대덕구,대전이문고등학교,8,166,8,159,8,156
대전광역시 서구,서대전고등학교,10,258,10,233,10,293
대전광역시 서구,서대전여자고등학교,8,152,8,165,8,209
대전광역시 서구,서일고등학교,9,216,9,191,9,230
대전광역시 서구,서일여자고등학교,8,215,8,183,8,215
대전광역시 대덕구,신탄진고등학교,8,160,8,145,8,163
대전광역시 동구,우송고등학교,10,266,10,239,10,311
대전광역시 유성구,유성고등학교,12,338,12,314,12,366
대전광역시 유성구,유성생명과학고등학교,10,215,10,244,10,277
대전광역시 유성구,유성여자고등학교,8,205,8,197,8,213
대전광역시 유성구,중일고등학교,8,220,8,221,8,228
대전광역시 중구,청란여자고등학교,8,140,8,141,8,165
대전광역시 서구,충남고등학교,12,352,12,348,12,397
대전광역시 중구,충남기계공업고등학교,14,299,14,339,14,384
대전광역시 중구,충남여자고등학교,13,368,13,340,13,434
대전광역시 서구,한밭고등학교,11,295,11,249,11,303
대전광역시 중구,호수돈여자고등학교,10,229,10,211,10,232
대전광역시 유성구,대전반석고등학교,10,291,10,270,10,326
대전광역시 서구,대전구봉고등학교,9,240,9,210,9,232
대전광역시 유성구,대전전민고등학교,10,277,10,261,10,264
대전광역시 서구,대전괴정고등학교,10,282,10,248,10,296
대전광역시 유성구,대전지족고등학교,11,330,11,305,11,354
대전광역시 유성구,대전용산고등학교,10,277,10,265,10,292
대전광역시 동구,대전가오고등학교,8,210,8,204,8,237
대전광역시 서구,대전복수고등학교,8,200,8,178,8,207
대전광역시 유성구,대전도안고등학교,10,288,10,278,10,304
대전광역시 중구,대전고등학교부설방송통신고등학교,3,25,3,45,3,62
대전광역시 동구,대전여자고등학교부설방송통신고등학교,4,120,4,118,4,133
울산광역시 남구,문수고등학교,8,179,8,196,8,226
울산광역시 울주군,남창고등학교,10,314,10,254,9,326
울산광역시 북구,울산동천고등학교,10,257,10,236,10,277
울산광역시 동구,대송고등학교,9,227,8,190,8,235
울산광역시 북구,무룡고등학교,7,171,6,136,8,183
울산광역시 동구,방어진고등학교,7,172,7,164,8,202
울산광역시 남구,삼일여자고등학교,9,205,9,209,10,214
울산광역시 남구,성광여자고등학교,9,198,8,176,10,228
울산광역시 중구,성신고등학교,9,228,8,186,8,204
울산광역시 남구,신정고등학교,12,291,12,292,12,363
울산광역시 남구,우신고등학교,10,212,8,170,10,226
울산광역시 울주군,울산기술공업고등학교,10,216,10,204,10,230
울산광역시 울주군,울산경의고등학교,6,148,6,119,6,153
울산광역시 중구,울산고등학교,8,206,8,184,8,277
울산광역시 남구,울산공업고등학교,15,365,15,423,15,462
울산광역시 울주군,울산상업고등학교,8,173,9,185,10,265
